attempt,seed,stable,stop_reason,rho0,n_agents,grid,force_scheme,agent_radius,agent_mass,v0_max,max_vel,step,raw_contact_detections,unique_contact_events,active_contacts,cumulative_raw_contact_detections,cumulative_unique_contact_events,max_rho,mean_rho,rho_safety_margin,max_u,mean_u,velocity_safety_margin,max_agent_speed_pre_clamp,agent_clamp_activations_step,agent_clamp_checks_step,agent_clamp_activation_frequency_cumulative,mean_agent_speed,max_agent_speed
7,20260712,True,completed,4.55,60,100x100x100,trilinear,5.0,25.0,0.2,1.0,0,0,0,0,0,0,4.55,4.549999999999999,15.45,0.04294322706777981,1.2649804856065243e-06,1.0570567729322202,0.28156007746239614,0,60,0.0,0.08520924502925219,0.2815600774623962
7,20260712,True,completed,4.55,60,100x100x100,trilinear,5.0,25.0,0.2,1.0,1,0,0,0,0,0,4.604789458305118,4.549999999999999,15.395210541694883,0.0253464328844853,3.3354303611898758e-06,1.0746535671155149,0.18183646787972488,0,60,0.0,0.11675725559232263,0.18183646787972485
7,20260712,True,completed,4.55,60,100x100x100,trilinear,5.0,25.0,0.2,1.0,2,0,0,0,0,0,4.577382291489845,4.549999999999998,15.422617708510156,0.026758931762330004,5.2748101624564916e-06,1.07324106823767,0.13496735972363713,0,60,0.0,0.11418875038839932,0.13496735972363713
7,20260712,True,completed,4.55,60,100x100x100,trilinear,5.0,25.0,0.2,1.0,3,0,0,0,0,0,4.5681787848864435,4.549999999999999,15.431821215113557,0.01948525017254897,7.043761071103e-06,1.0805147498274512,0.13099027976621055,0,60,0.0,0.1199388593222594,0.13099027976621053
7,20260712,True,completed,4.55,60,100x100x100,trilinear,5.0,25.0,0.2,1.0,4,0,0,0,0,0,4.567741435988421,4.55,15.43225856401158,0.022976197313949932,7.894568390922271e-06,1.0770238026860501,0.1262560099558758,0,60,0.0,0.11687758736050262,0.1262560099558758
7,20260712,True,completed,4.55,60,100x100x100,trilinear,5.0,25.0,0.2,1.0,5,0,0,0,0,0,4.559832391357207,4.549999999999998,15.440167608642792,0.017439348862888483,8.573069049920986e-06,1.0825606511371115,0.12437910194809802,0,60,0.0,0.11911924429486441,0.12437910194809802
7,20260712,True,completed,4.55,60,100x100x100,trilinear,5.0,25.0,0.2,1.0,6,1,1,1,1,1,4.55710093442825,4.549999999999999,15.442899065571751,0.020649032942772524,8.762252832544455e-06,1.0793509670572277,0.12209405542603924,0,60,0.0,0.11735877143534611,0.15216551481614485
7,20260712,True,completed,4.55,60,100x100x100,trilinear,5.0,25.0,0.2,1.0,7,0,0,0,1,1,4.5560354970920685,4.549999999999999,15.443964502907932,0.014023866360125854,9.073125603350518e-06,1.0859761336398743,0.13479010825624543,0,60,0.0,0.11840860112170636,0.13479010825624543
7,20260712,True,completed,4.55,60,100x100x100,trilinear,5.0,25.0,0.2,1.0,8,0,0,0,1,1,4.558289881050294,4.549999999999999,15.441710118949706,0.015404944855185026,9.277479513585627e-06,1.0845950551448151,0.13296755938622698,0,60,0.0,0.11802446209503058,0.13296755938622698
7,20260712,True,completed,4.55,60,100x100x100,trilinear,5.0,25.0,0.2,1.0,9,0,0,0,1,1,4.554313826734186,4.55,15.445686173265814,0.009576303450729679,9.409971569845996e-06,1.0904236965492704,0.12625048173705383,0,60,0.0,0.11840611949405222,0.12625048173705383
