grid,rho0,n_agents,step,n_runs,raw_contact_detections_n,raw_contact_detections_mean,raw_contact_detections_sd,raw_contact_detections_median,raw_contact_detections_ci95_low,raw_contact_detections_ci95_high,raw_contact_detections_iqr,raw_contact_detections_min,raw_contact_detections_max,unique_contact_events_n,unique_contact_events_mean,unique_contact_events_sd,unique_contact_events_median,unique_contact_events_ci95_low,unique_contact_events_ci95_high,unique_contact_events_iqr,unique_contact_events_min,unique_contact_events_max,cumulative_raw_contact_detections_n,cumulative_raw_contact_detections_mean,cumulative_raw_contact_detections_sd,cumulative_raw_contact_detections_median,cumulative_raw_contact_detections_ci95_low,cumulative_raw_contact_detections_ci95_high,cumulative_raw_contact_detections_iqr,cumulative_raw_contact_detections_min,cumulative_raw_contact_detections_max,cumulative_unique_contact_events_n,cumulative_unique_contact_events_mean,cumulative_unique_contact_events_sd,cumulative_unique_contact_events_median,cumulative_unique_contact_events_ci95_low,cumulative_unique_contact_events_ci95_high,cumulative_unique_contact_events_iqr,cumulative_unique_contact_events_min,cumulative_unique_contact_events_max,active_contacts_n,active_contacts_mean,active_contacts_sd,active_contacts_median,active_contacts_ci95_low,active_contacts_ci95_high,active_contacts_iqr,active_contacts_min,active_contacts_max,max_rho_n,max_rho_mean,max_rho_sd,max_rho_median,max_rho_ci95_low,max_rho_ci95_high,max_rho_iqr,max_rho_min,max_rho_max,max_u_n,max_u_mean,max_u_sd,max_u_median,max_u_ci95_low,max_u_ci95_high,max_u_iqr,max_u_min,max_u_max,mean_agent_speed_n,mean_agent_speed_mean,mean_agent_speed_sd,mean_agent_speed_median,mean_agent_speed_ci95_low,mean_agent_speed_ci95_high,mean_agent_speed_iqr,mean_agent_speed_min,mean_agent_speed_max
100x100x100,1.0,30,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,1.0000000000000002,0.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,1.0000000000000002,1.0000000000000002,100,0.04555292358484629,0.0027574571739307327,0.0458158565385197,0.045005784258067595,0.04610006291162499,0.003942431025239779,0.0391167047377043,0.0499629823977269,100,0.22963936844920876,0.003944533190898442,0.22967320606691521,0.22885668748686117,0.23042204941155636,0.00472499981734667,0.2163255334263319,0.2375893649184814
100x100x100,1.0,30,1,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,1.0138286517237696,0.0014701382790001099,1.013774878497355,1.0135369443943327,1.0141203590532064,0.0021160930501646913,1.010601445581002,1.016796322736398,100,0.032560406626135165,0.005420603322874746,0.03232046185900155,0.031484841326027795,0.033635971926242535,0.006694057421185048,0.0203877293051737,0.0478465572239604,100,0.24599269419578815,0.0013396769724665666,0.24609872219685347,0.24572687321994632,0.24625851517162997,0.001509202946728766,0.2409632406298272,0.2486654336890079
100x100x100,1.0,30,2,100,100,0.05,0.21904291355759034,0.0,0.006537133779415102,0.0934628662205849,0.0,0.0,1.0,100,0.05,0.21904291355759034,0.0,0.006537133779415102,0.0934628662205849,0.0,0.0,1.0,100,0.05,0.21904291355759034,0.0,0.006537133779415102,0.0934628662205849,0.0,0.0,1.0,100,0.05,0.21904291355759034,0.0,0.006537133779415102,0.0934628662205849,0.0,0.0,1.0,100,0.05,0.21904291355759034,0.0,0.006537133779415102,0.0934628662205849,0.0,0.0,1.0,100,1.0121908357462457,0.0018341373535802482,1.0124065426037419,1.0118269031033944,1.012554768389097,0.002349067049831177,1.0075337112374183,1.016135996196038,100,0.029333694094049713,0.005028547520812337,0.02903351937044335,0.028335921170784345,0.03033146701731508,0.006363425455616325,0.0170629614231405,0.0401784521605948,100,0.2508859754146443,0.000486448805150026,0.25096301321639847,0.25078945341811854,0.25098249741117007,0.00039376978869631873,0.2484950001078366,0.2515896852860756
100x100x100,1.0,30,3,100,100,0.06,0.23868325657594203,0.0,0.012640063624216553,0.10735993637578345,0.0,0.0,1.0,100,0.06,0.23868325657594203,0.0,0.012640063624216553,0.10735993637578345,0.0,0.0,1.0,100,0.11,0.31446603773522014,0.0,0.04760311572275622,0.17239688427724378,0.0,0.0,1.0,100,0.11,0.31446603773522014,0.0,0.04760311572275622,0.17239688427724378,0.0,0.0,1.0,100,0.06,0.23868325657594203,0.0,0.012640063624216553,0.10735993637578345,0.0,0.0,1.0,100,1.0076322507286926,0.0015075522665317167,1.0075711257452886,1.0073331196524271,1.007931381804958,0.0022428063757211625,1.0046583744744229,1.011818047486813,100,0.01759049199323864,0.005890176828777977,0.016160477857684048,0.01642175312208836,0.01875923086438892,0.004180166033560272,0.0100034831205658,0.0486081749165452,100,0.25193941961093114,0.0005498458084699374,0.2520822753863871,0.25183031827353863,0.25204852094832364,8.69691862175892e-05,0.2494925592034713,0.2522244366807847
100x100x100,1.0,30,4,100,100,0.11,0.3144660377352202,0.0,0.047603115722756204,0.1723968842772438,0.0,0.0,1.0,100,0.11,0.3144660377352202,0.0,0.047603115722756204,0.1723968842772438,0.0,0.0,1.0,100,0.22,0.4163331998932266,0.0,0.13739046072636435,0.30260953927363565,0.0,0.0,1.0,100,0.22,0.4163331998932266,0.0,0.13739046072636435,0.30260953927363565,0.0,0.0,1.0,100,0.11,0.3144660377352202,0.0,0.047603115722756204,0.1723968842772438,0.0,0.0,1.0,100,1.0061975539599892,0.001477120259973131,1.0059181959798436,1.0059044612540522,1.0064906466659262,0.0012582322305896287,1.0038344235374403,1.0138065121168498,100,0.022681399945131936,0.004806917045391732,0.021662512151434603,0.02172760331649834,0.023635196573765532,0.003461551686994274,0.0155276431888039,0.045018764399654,100,0.2520787931298622,0.0004949203400260885,0.25225543400257955,0.25198059019702573,0.25217699606269867,3.091925358122971e-05,0.2497265856629603,0.2523167957312385
100x100x100,1.0,30,5,100,100,0.1,0.3333333333333333,0.0,0.03385943494711943,0.16614056505288058,0.0,0.0,2.0,100,0.1,0.3333333333333333,0.0,0.03385943494711943,0.16614056505288058,0.0,0.0,2.0,100,0.32,0.5101000100000197,0.0,0.218785091315356,0.421214908684644,1.0,0.0,2.0,100,0.32,0.5101000100000197,0.0,0.218785091315356,0.421214908684644,1.0,0.0,2.0,100,0.1,0.3333333333333333,0.0,0.03385943494711943,0.16614056505288058,0.0,0.0,2.0,100,1.0059259849946194,0.0017942155897923038,1.0056288696461324,1.0055699736958128,1.006281996293426,0.0013192279439435683,1.003328869291062,1.0128813095233198,100,0.016098765742430486,0.006572562320556929,0.0142724624153503,0.014794626785249764,0.01740290469961121,0.005333141456403352,0.0076944314205104,0.0398104203471252,100,0.2520950081571004,0.00045599957783324486,0.2522667430163903,0.2520045279478751,0.2521854883663257,2.6214019507642128e-05,0.2493857810160634,0.2522928258285449
100x100x100,1.0,30,6,100,100,0.1,0.30151134457776363,0.0,0.04017360789931881,0.1598263921006812,0.0,0.0,1.0,100,0.1,0.30151134457776363,0.0,0.04017360789931881,0.1598263921006812,0.0,0.0,1.0,100,0.42,0.5891270720911637,0.0,0.30310440769182395,0.536895592308176,1.0,0.0,3.0,100,0.42,0.5891270720911637,0.0,0.30310440769182395,0.536895592308176,1.0,0.0,3.0,100,0.1,0.30151134457776363,0.0,0.04017360789931881,0.1598263921006812,0.0,0.0,1.0,100,1.0038715093294257,0.0025681666752202367,1.002976439744274,1.0033619293442786,1.0043810893145728,0.0011997128534242396,1.001938847777198,1.0129362001511697,100,0.018692295717093955,0.004000709001567608,0.01787140360810125,0.017898468255166472,0.019486123179021438,0.002710690485250574,0.0117835864881727,0.038588940776396,100,0.25209364325606887,0.00046730586851346926,0.25224090839100677,0.25200091963348087,0.25218636687865686,4.340718564538326e-05,0.2493485982905858,0.2522642895104198
100x100x100,1.0,30,7,100,100,0.1,0.30151134457776363,0.0,0.04017360789931881,0.1598263921006812,0.0,0.0,1.0,100,0.09,0.28762349126466136,0.0,0.03292925929581911,0.14707074070418089,0.0,0.0,1.0,100,0.52,0.6739001514626735,0.0,0.3862835895791109,0.6537164104208891,1.0,0.0,3.0,100,0.51,0.6589707309451796,0.0,0.37924591050592826,0.6407540894940718,1.0,0.0,3.0,100,0.1,0.30151134457776363,0.0,0.04017360789931881,0.1598263921006812,0.0,0.0,1.0,100,1.0033189409615715,0.002260847375575588,1.0024047004314482,1.0028703397928147,1.0037675421303283,0.0007126629456724043,1.001744266562553,1.0144810545917222,100,0.01312435252498515,0.005410743743358473,0.0115885639246438,0.012050743579358947,0.014197961470611352,0.004045298650820801,0.0072536106862273,0.0452604069842052,100,0.2521021610934487,0.00039721659599426396,0.2522247842612037,0.2520233447031264,0.252180977483771,3.859528789973421e-05,0.2495155951761334,0.2522559455890423
100x100x100,1.0,30,8,100,100,0.06,0.27779797906341425,0.0,0.0048788540825924764,0.11512114591740752,0.0,0.0,2.0,100,0.04,0.19694638556693236,0.0,0.0009215643204418256,0.07907843567955818,0.0,0.0,1.0,100,0.58,0.8062884162016778,0.0,0.4200148856704866,0.7399851143295133,1.0,0.0,5.0,100,0.55,0.7159792333764038,0.0,0.4079341868150692,0.6920658131849309,1.0,0.0,4.0,100,0.06,0.27779797906341425,0.0,0.0048788540825924764,0.11512114591740752,0.0,0.0,2.0,100,1.002985981354958,0.002241179503094926,1.0020516525656564,1.0025412827187992,1.0034306799911168,0.0011065743951796936,1.001307732503039,1.0153080633072555,100,0.01449686437490366,0.0045771381532750495,0.0135915977282964,0.01358866086355553,0.01540506788625179,0.0023345524618030734,0.0085558009340603,0.0437326629019399,100,0.25211958190772044,0.000455563754994055,0.2522385110331202,0.2520291881752017,0.25220997564023917,2.7129284593918612e-05,0.2487324070261776,0.2522652181310353
100x100x100,1.0,30,9,100,100,0.04,0.19694638556693236,0.0,0.0009215643204418256,0.07907843567955818,0.0,0.0,1.0,100,0.02,0.14070529413628968,0.0,-0.00791898298031789,0.047918982980317895,0.0,0.0,1.0,100,0.62,0.9296463974234634,0.0,0.43553798592511206,0.8044620140748879,1.0,0.0,6.0,100,0.57,0.7555184185763315,0.0,0.420088754662508,0.7199112453374918,1.0,0.0,4.0,100,0.04,0.19694638556693236,0.0,0.0009215643204418256,0.07907843567955818,0.0,0.0,1.0,100,1.0025984290774863,0.002200418705384015,1.0016929870368712,1.0021618182679053,1.0030350398870673,0.0015660890419146867,1.0010734992071617,1.0136715660003488,100,0.011293786014923984,0.006027887972667966,0.00947807296777695,0.010097722265160819,0.01248984976468715,0.0030417551568594006,0.0059971327401406,0.0472144780682533,100,0.25218584177925446,0.0003627615732469121,0.2522585583887182,0.2521138620129524,0.25225782154555654,1.660063114522492e-05,0.2489801508167795,0.2522788311224744
