grid,rho0,n_agents,seed,force_scheme,agent_radius,agent_mass,v0_max,steps_recorded,final_step,total_raw_contact_detections,total_unique_contact_events,peak_active_contacts,peak_max_rho,peak_max_u,minimum_rho_safety_margin,minimum_velocity_safety_margin,first_raw_contact_step,first_unique_contact_step,mean_agent_speed_over_time,peak_agent_speed_mean_field
100x100x100,1.0,30,42,nearest,5.0,25.0,0.2,100,99,8.0,8.0,1.0,1.013756725793004,0.0451889157847987,18.986243274206995,1.0548110842152014,29.0,29.0,0.25188099007098974,0.2523213039860603
100x100x100,1.0,30,43,nearest,5.0,25.0,0.2,100,99,7.0,7.0,1.0,1.0137955242353145,0.0442770820154775,18.986204475764687,1.0557229179845227,7.0,7.0,0.25199446098017086,0.2523209128552566
100x100x100,1.0,30,44,nearest,5.0,25.0,0.2,100,99,5.0,5.0,1.0,1.010776291565643,0.043384259234331,18.989223708434356,1.056615740765669,43.0,43.0,0.2520382057187399,0.2523206140947571
100x100x100,1.0,30,45,nearest,5.0,25.0,0.2,100,99,5.0,5.0,1.0,1.0149110540411723,0.0472066479480463,18.98508894595883,1.0527933520519537,16.0,16.0,0.25190652639891176,0.2523223895892689
100x100x100,1.0,30,46,nearest,5.0,25.0,0.2,100,99,7.0,7.0,1.0,1.0148902100544308,0.0493559381384923,18.985109789945568,1.0506440618615078,10.0,10.0,0.25183892974327654,0.2523225053130146
100x100x100,1.0,30,47,nearest,5.0,25.0,0.2,100,99,4.0,4.0,1.0,1.015674446531068,0.047616040804015,18.98432555346893,1.0523839591959852,3.0,3.0,0.25180528785890105,0.2523223123992329
100x100x100,1.0,30,48,nearest,5.0,25.0,0.2,100,99,1.0,1.0,1.0,1.0128311075509366,0.0452882630756593,18.987168892449063,1.0547117369243408,59.0,59.0,0.2519624751559954,0.2523229924794937
100x100x100,1.0,30,49,nearest,5.0,25.0,0.2,100,99,8.0,8.0,1.0,1.0158339733091837,0.0454020684065676,18.984166026690815,1.0545979315934324,6.0,6.0,0.25190984988325327,0.2523224853598791
100x100x100,1.0,30,50,nearest,5.0,25.0,0.2,100,99,8.0,8.0,1.0,1.0164326539787965,0.0470871732394762,18.983567346021204,1.052912826760524,15.0,15.0,0.2518781950133808,0.2523214987605182
100x100x100,1.0,30,51,nearest,5.0,25.0,0.2,100,99,6.0,6.0,1.0,1.0117588449066584,0.04221815584697,18.98824115509334,1.05778184415303,2.0,2.0,0.2520071964353269,0.2523187976556321
100x100x100,1.0,30,52,nearest,5.0,25.0,0.2,100,99,6.0,6.0,1.0,1.015334237351639,0.0464566481253157,18.984665762648362,1.0535433518746844,3.0,3.0,0.2519952551034914,0.2523197634887988
100x100x100,1.0,30,53,nearest,5.0,25.0,0.2,100,99,8.0,3.0,1.0,1.015339383587111,0.0485639265239661,18.98466061641289,1.051436073476034,72.0,72.0,0.2519036563863677,0.2523231204161077
100x100x100,1.0,30,54,nearest,5.0,25.0,0.2,100,99,12.0,12.0,2.0,1.0136620489017412,0.0465066841702618,18.98633795109826,1.0534933158297384,5.0,5.0,0.25179544331060066,0.2523221806149289
100x100x100,1.0,30,55,nearest,5.0,25.0,0.2,100,99,4.0,4.0,1.0,1.014231277128714,0.0466557632414602,18.985768722871285,1.05334423675854,17.0,17.0,0.2518301083518708,0.2523246907198547
100x100x100,1.0,30,56,nearest,5.0,25.0,0.2,100,99,7.0,7.0,1.0,1.0133890393738816,0.0486745375238791,18.98661096062612,1.051325462476121,42.0,42.0,0.2518672224614741,0.252324488197685
100x100x100,1.0,30,57,nearest,5.0,25.0,0.2,100,99,7.0,7.0,2.0,1.0156312191655812,0.0449991891269346,18.98436878083442,1.0550008108730655,10.0,10.0,0.2519529249072347,0.2523196246276268
100x100x100,1.0,30,58,nearest,5.0,25.0,0.2,100,99,12.0,3.0,1.0,1.0134113048910436,0.0437228959008268,18.986588695108956,1.0562771040991732,6.0,6.0,0.2519790194005129,0.2523198758130943
100x100x100,1.0,30,59,nearest,5.0,25.0,0.2,100,99,10.0,10.0,1.0,1.0155827344029376,0.048044383900198,18.984417265597063,1.051955616099802,4.0,4.0,0.2518056343505166,0.2523176824885944
100x100x100,1.0,30,60,nearest,5.0,25.0,0.2,100,99,0.0,0.0,0.0,1.012494842889504,0.039134707760692,18.987505157110498,1.060865292239308,,,0.2521171294039297,0.2523201939599881
100x100x100,1.0,30,61,nearest,5.0,25.0,0.2,100,99,4.0,4.0,1.0,1.0136817590996483,0.0442862074287557,18.986318240900353,1.0557137925712443,4.0,4.0,0.2520275091065846,0.2523208062662223
