nx,ny,nz,rho0,n_agents,steps_requested,steps_completed,seed,force_scheme,stable,stop_reason,raw_contact_detections,unique_contact_events,final_active_contacts,max_rho_observed,max_u_observed,grid,steps,agent_radius,agent_mass,v0_max,rho_threshold,max_vel,tau_bgk,condition_dir,grid_volume,grid_side
100,100,100,1.0,30,100,100,66,nearest,True,completed,5,5,0,1.0159927387324232,0.0486649651171439,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,67,nearest,True,completed,7,7,0,1.0164945386054276,0.0498850507060629,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,68,nearest,True,completed,14,10,0,1.0153837297300292,0.0450099243894457,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,69,nearest,True,completed,7,7,0,1.0134022375108336,0.0439536039894534,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,70,nearest,True,completed,5,5,0,1.01421264200955,0.0442195398489183,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,71,nearest,True,completed,4,4,0,1.011911378290329,0.0409459517326033,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,72,nearest,True,completed,5,5,0,1.0134837919317263,0.0447327271780865,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,73,nearest,True,completed,3,3,0,1.01309300456063,0.0407760215352547,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,74,nearest,True,completed,7,7,0,1.0140248115785455,0.046614974870385,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,75,nearest,True,completed,3,3,0,1.0142830342343068,0.045541541620211,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,76,nearest,True,completed,7,7,0,1.0138753625673746,0.0422812643140784,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,77,nearest,True,completed,9,3,0,1.0159406878315478,0.0492984309171909,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,78,nearest,True,completed,8,8,0,1.015059488449663,0.0493704600673133,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,79,nearest,True,completed,1,1,0,1.0120428495215334,0.0412917008421631,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
100,100,100,1.0,30,100,100,80,nearest,True,completed,16,9,0,1.015861955053591,0.0479307020176349,100x100x100,100,5.0,25.0,0.2,20.0,1.0,0.6,grid_100x100x100_rho_1.0_N_30,1000000,100
