grid,rho0,n_agents,force_scheme,agent_radius,agent_mass,v0_max,attempts_total,stable_runs_obtained,unstable_attempts,stability_fraction,raw_detections_n,raw_detections_mean,raw_detections_sd,raw_detections_median,raw_detections_ci95_low,raw_detections_ci95_high,raw_detections_iqr,raw_detections_min,raw_detections_max,unique_events_n,unique_events_mean,unique_events_sd,unique_events_median,unique_events_ci95_low,unique_events_ci95_high,unique_events_iqr,unique_events_min,unique_events_max,steps_completed_n,steps_completed_mean,steps_completed_sd,steps_completed_median,steps_completed_ci95_low,steps_completed_ci95_high,steps_completed_iqr,steps_completed_min,steps_completed_max,final_active_contacts_n,final_active_contacts_mean,final_active_contacts_sd,final_active_contacts_median,final_active_contacts_ci95_low,final_active_contacts_ci95_high,final_active_contacts_iqr,final_active_contacts_min,final_active_contacts_max,max_rho_observed_n,max_rho_observed_mean,max_rho_observed_sd,max_rho_observed_median,max_rho_observed_ci95_low,max_rho_observed_ci95_high,max_rho_observed_iqr,max_rho_observed_min,max_rho_observed_max,max_u_observed_n,max_u_observed_mean,max_u_observed_sd,max_u_observed_median,max_u_observed_ci95_low,max_u_observed_ci95_high,max_u_observed_iqr,max_u_observed_min,max_u_observed_max,grid_volume,grid_side
100x100x100,1.0,30,nearest,5.0,25.0,0.2,100,100,0,1.0,100,6.23,3.1361528255897455,6.0,5.607719240069919,6.852280759930082,3.25,0.0,16.0,100,5.58,2.2571099783895012,6.0,5.13214041192847,6.02785958807153,3.0,0.0,12.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.05,0.21904291355759034,0.0,0.006537133779415102,0.0934628662205849,0.0,0.0,1.0,100,1.0143244812688175,0.0013480691699128456,1.0143153332509938,1.0140569950989322,1.0145919674387027,0.001947915166902181,1.010776291565643,1.016796322736398,100,0.04610005146072141,0.0024891138784100017,0.046526053921918595,0.045606157265524395,0.04659394565591842,0.0032149506185118262,0.039134707760692,0.0499629823977269,1000000,100
100x100x100,1.0,40,nearest,5.0,25.0,0.2,100,100,0,1.0,100,12.79,6.518497379059694,11.5,11.496588700159812,14.083411299840186,8.0,4.0,36.0,100,10.72,3.890106591461125,11.0,9.948118455774479,11.491881544225523,5.25,4.0,23.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.07,0.2564323999762428,0.0,0.019118248503115068,0.12088175149688495,0.0,0.0,1.0,100,1.0147580269595877,0.001330789581738853,1.0148544762370824,1.0144939694348796,1.0150220844842959,0.0020787432150191076,1.011418307926896,1.0172595807214062,100,0.046622565167802804,0.0021870905212648503,0.046857097830103,0.04618859895910803,0.047056531376497575,0.003092072138274775,0.0403170255730156,0.0499629823977269,1000000,100
100x100x100,1.0,50,nearest,5.0,25.0,0.2,100,100,0,1.0,100,18.75,6.047580700018176,18.0,17.55002878589371,19.94997121410629,8.25,6.0,34.0,100,16.85,4.4024212805356475,17.0,15.97646410671364,17.723535893286364,7.0,6.0,25.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.14,0.348735088019777,0.0,0.07080339267381773,0.20919660732618228,0.0,0.0,1.0,100,1.0152780526330398,0.001097701925766821,1.0152398636062794,1.0150602447561503,1.0154958605099293,0.0013153658143871816,1.0132686369684818,1.0210348998411254,100,0.047575463062250384,0.0022308605336267013,0.04775132808429655,0.04713281193350566,0.04801811419099511,0.0023564866802874007,0.0417687085560874,0.0570997001565486,1000000,100
100x100x100,1.0,60,nearest,5.0,25.0,0.2,100,100,0,1.0,100,27.58,9.328115424550521,26.0,25.729099524825212,29.430900475174784,11.25,12.0,60.0,100,24.39,5.962670068302819,25.0,23.20687689737566,25.57312310262434,8.25,12.0,44.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.24,0.45215533220835125,0.0,0.15028257250820015,0.32971742749179983,0.0,0.0,2.0,100,1.0156265037049719,0.0013396752802260915,1.0156611642303166,1.0153606830649073,1.0158923243450364,0.0015138975785862208,1.0129569960325266,1.0223508851714669,100,0.04838677631172085,0.003355596948168342,0.04845108068426665,0.04772095307699612,0.04905259954644558,0.0019553214631415766,0.040038188908166,0.0669441023674259,1000000,100
100x100x100,1.8,30,nearest,5.0,25.0,0.2,100,100,0,1.0,100,4.68,2.5618806223616906,5.0,4.171667304116917,5.188332695883083,3.0,0.0,15.0,100,4.2,1.9745860069872618,4.0,3.808199297257054,4.591800702742947,2.0,0.0,10.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.04,0.19694638556693236,0.0,0.0009215643204418256,0.07907843567955818,0.0,0.0,1.0,100,1.815776421610846,0.002244616629198758,1.8154553473559898,1.815331040974299,1.816221802247393,0.0026221422665808625,1.8112620585376065,1.82252329011054,100,0.038094908913480066,0.007274058641596834,0.0369456550069249,0.03665157786713105,0.03953823995982908,0.00956022926362115,0.0244607083520315,0.058443998960178,1000000,100
100x100x100,1.8,40,nearest,5.0,25.0,0.2,100,100,0,1.0,100,9.64,4.321709351306693,9.0,8.782479104530772,10.49752089546923,7.0,3.0,22.0,100,8.35,3.179400235671165,8.0,7.719138015650342,8.980861984349657,4.25,3.0,16.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.05,0.2190429135575903,0.0,0.006537133779415102,0.0934628662205849,0.0,0.0,1.0,100,1.8164260691203447,0.0019876568709250877,1.816038551349602,1.816031674874622,1.8168204633660674,0.0022210307775598626,1.8123667458736952,1.82252329011054,100,0.04001865833840757,0.006517034391276767,0.03906266743864255,0.03872553732708327,0.041311779349731875,0.008318675690472281,0.0273046381580432,0.058443998960178,1000000,100
100x100x100,1.8,50,nearest,5.0,25.0,0.2,100,100,0,1.0,100,14.03,4.831410275739916,14.0,13.071343383080805,14.988656616919194,7.25,4.0,27.0,100,12.74,3.888911976843442,13.0,11.96835549323198,13.51164450676802,6.0,4.0,21.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.13,0.3666666666666667,0.0,0.05724537844183136,0.20275462155816865,0.0,0.0,2.0,100,1.8169989301069704,0.001995134221548927,1.8164655871375217,1.8166030521926617,1.8173948080212792,0.0032392976172499477,1.813492346105648,1.822367005643826,100,0.04165752886005986,0.006897745541386351,0.0413756886532598,0.04028886649696502,0.04302619122315471,0.009273775520022468,0.0268489059326769,0.0571173873655283,1000000,100
100x100x100,1.8,60,nearest,5.0,25.0,0.2,100,100,0,1.0,100,20.32,6.755289734270426,19.0,18.979603959638293,21.660396040361707,10.0,8.0,41.0,100,18.37,5.120083253742318,19.0,17.354064401439075,19.385935598560927,7.25,8.0,32.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.28,0.5333333333333333,0.0,0.1741750959153911,0.38582490408460896,0.25,0.0,3.0,100,1.817759853615491,0.0018667951314051531,1.8176702415110033,1.8173894409610039,1.8181302662699783,0.0030225082983055263,1.81395885273972,1.822367005643826,100,0.043864757253764486,0.00632892207228683,0.0437974306887678,0.04260896180765439,0.04512055269987458,0.009271566666496846,0.0280875385683339,0.0571173873655283,1000000,100
100x100x100,2.93,30,nearest,5.0,25.0,0.2,100,100,0,1.0,100,3.56,1.9453129373554334,4.0,3.1740077093558985,3.9459922906441016,2.25,0.0,10.0,100,3.32,1.7108093660220258,3.0,2.9805383055006285,3.659461694499371,2.0,0.0,8.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.01,0.09999999999999999,0.0,-0.00984216951586417,0.029842169515864173,0.0,0.0,1.0,100,2.9628728477977635,0.003941717029732218,2.9623428218700685,2.9620907256228883,2.9636549699726387,0.0047216768596509695,2.95442506156418,2.9740493888503337,100,0.04879493610973507,0.007299589791415162,0.047658586368320405,0.04734653912935976,0.050243333090110386,0.00956022926362115,0.0338832231993744,0.0691569303215736,1000000,100
100x100x100,2.93,40,nearest,5.0,25.0,0.2,100,100,0,1.0,100,7.39,3.3631845178357516,7.0,6.722671226839731,8.057328773160268,5.25,1.0,15.0,100,6.71,2.9208238771298967,6.0,6.13044517504005,7.28955482495995,5.0,1.0,14.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.04,0.1969463855669324,0.0,0.0009215643204418186,0.07907843567955819,0.0,0.0,1.0,100,2.963968097310419,0.003556069472856259,2.9636524141394194,2.963262495977513,2.9646736986433253,0.003951723057541656,2.956176218926956,2.9740493888503337,100,0.050731589699803105,0.006517034391276768,0.049775598800038096,0.0494384686884788,0.05202471071112741,0.008318675690472198,0.0380175695194387,0.0691569303215736,1000000,100
100x100x100,2.93,50,nearest,5.0,25.0,0.2,100,100,0,1.0,100,10.91,3.717539644724856,11.0,10.17235948187424,11.64764051812576,4.25,3.0,22.0,100,10.02,3.3180863415072506,10.0,9.361619683435395,10.678380316564605,4.0,2.0,19.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.11,0.3144660377352202,0.0,0.047603115722756204,0.1723968842772438,0.0,0.0,1.0,100,2.96490994342175,0.0036339442382247555,2.964354063443364,2.9641888900458895,2.9656309967976107,0.005563335505825329,2.955629460082021,2.9739181703213244,100,0.052369587409292685,0.006899643551684035,0.052088620014655404,0.051000548439777145,0.053738626378808226,0.009273775520022474,0.0374745560778018,0.0678303187269238,1000000,100
100x100x100,2.93,60,nearest,5.0,25.0,0.2,100,100,0,1.0,100,16.0,5.0950560310555915,16.0,14.989030345389688,17.01096965461031,7.25,7.0,30.0,100,14.85,4.4207385460949045,15.0,13.9728295638307,15.727170436169299,7.0,7.0,25.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.1,0.3333333333333333,0.0,0.03385943494711943,0.16614056505288058,0.0,0.0,2.0,100,2.966096883333197,0.003374903809104017,2.96604819492235,2.965427229198397,2.966766537467997,0.004979511722518648,2.9572503301123603,2.9739181703213244,100,0.05455086424771197,0.006345744478247896,0.05451036205016335,0.053291730871294435,0.05580999762412951,0.009791459766282103,0.0388004699297294,0.0678303187269238,1000000,100
100x100x100,4.55,30,nearest,5.0,25.0,0.2,100,100,0,1.0,100,2.89,1.7860005542546675,3.0,2.535618742470515,3.244381257529485,2.25,0.0,7.0,100,2.59,1.53803626600791,2.5,2.2848202368832427,2.895179763116757,2.25,0.0,7.0,100,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100,0.02,0.14070529413628965,0.0,-0.007918982980317887,0.04791898298031789,0.0,0.0,1.0,100,4.724629238861911,0.8228758341270223,4.607385641695634,4.561352820949346,4.887905656774476,0.007017958207174324,4.595279921298906,10.514853454567287,100,0.07359500021094718,0.1332225779954498,0.0537344217956917,0.047160750451685676,0.10002924997020869,0.00956022926362108,0.0399590586267457,1.0,1000000,100
