nx,ny,nz,rho0,n_agents,steps_requested,steps_completed,seed,force_scheme,stable,stop_reason,raw_contact_detections,unique_contact_events,final_active_contacts,max_rho_observed,max_u_observed,max_agent_speed_pre_clamp_observed,agent_clamp_activation_count,agent_clamp_checks,agent_clamp_activation_frequency
100,100,100,4.55,60,100,100,20260705,nearest,True,completed,9,7,0,4.609806057200106,0.050549006322977055,0.18008054684110875,0,6000,0.0
100,100,100,4.55,60,100,100,20260706,nearest,True,completed,15,13,0,4.608189531207892,0.0510027330722987,0.18317943143992094,0,6000,0.0
100,100,100,4.55,60,100,100,20260707,nearest,True,completed,12,11,0,4.614451167372125,0.06559874419619066,0.2846753608073908,0,6000,0.0
100,100,100,4.55,60,100,100,20260708,nearest,True,completed,9,8,0,4.608979398703739,0.05782186771152119,0.23018451671704604,0,6000,0.0
100,100,100,4.55,60,100,100,20260709,nearest,True,completed,21,16,0,4.605065575226264,0.05052419584815562,0.17991120439446665,0,6000,0.0
100,100,100,4.55,60,100,100,20260710,nearest,True,completed,8,7,0,4.609633135615359,0.05734123344313554,0.226846296153662,0,6000,0.0
100,100,100,4.55,60,100,100,20260711,nearest,True,completed,17,15,0,4.616548191415075,0.06467265388544702,0.2781416669205028,0,6000,0.0
100,100,100,4.55,60,100,100,20260712,nearest,True,completed,12,11,0,4.6144527834988684,0.06515738538443261,0.28156007746239614,0,6000,0.0
100,100,100,4.55,60,100,100,20260713,nearest,True,completed,8,8,0,4.6080630932002835,0.05603925461983554,0.2178219086846059,0,6000,0.0
100,100,100,4.55,60,100,100,20260714,nearest,True,completed,16,13,0,4.609039426365412,0.05610694266408264,0.21829040166739055,0,6000,0.0
100,100,100,4.55,60,100,100,20260715,nearest,True,completed,16,15,0,4.6081077734176015,0.05506855634762239,0.21111160963945272,0,6000,0.0
100,100,100,4.55,60,100,100,20260716,nearest,True,completed,11,9,1,4.6039159571995265,0.05249080460531734,0.19336892215384438,0,6000,0.0
100,100,100,4.55,60,100,100,20260717,nearest,True,completed,11,10,1,4.611346463018661,0.05553064012799483,0.2143039975225768,0,6000,0.0
100,100,100,4.55,60,100,100,20260718,nearest,True,completed,12,12,0,4.6148948266864815,0.0658598946468194,0.2865198852781031,0,6000,0.0
100,100,100,4.55,60,100,100,20260719,nearest,True,completed,7,7,0,4.615255841108911,0.06378001938413581,0.2718550089253531,0,6000,0.0
100,100,100,4.55,60,100,100,20260720,nearest,True,completed,14,11,0,4.611492229587415,0.0554513454660805,0.213755925702506,0,6000,0.0
100,100,100,4.55,60,100,100,20260721,nearest,True,completed,9,9,0,4.609088789829639,0.05645045728043396,0.2206691322846613,0,6000,0.0
100,100,100,4.55,60,100,100,20260722,nearest,True,completed,24,18,0,4.6143967877485546,0.06084469312172532,0.25126066236760425,0,6000,0.0
100,100,100,4.55,60,100,100,20260723,nearest,True,completed,8,8,0,4.607907984290539,0.04999456962363573,0.17629899751183237,0,6000,0.0
100,100,100,4.55,60,100,100,20260724,nearest,True,completed,8,8,0,7.7272495475457745,0.8714750750035658,11.03793520551243,97,6000,0.016166666666666666
