attempt,seed,stable,stop_reason,rho0,n_agents,grid,force_scheme,agent_radius,agent_mass,v0_max,max_vel,step,raw_contact_detections,unique_contact_events,active_contacts,cumulative_raw_contact_detections,cumulative_unique_contact_events,max_rho,mean_rho,rho_safety_margin,max_u,mean_u,velocity_safety_margin,max_agent_speed_pre_clamp,agent_clamp_activations_step,agent_clamp_checks_step,agent_clamp_activation_frequency_cumulative,mean_agent_speed,max_agent_speed
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,0,0,0,0,0,0,4.55,4.549999999999999,15.45,0.04444403160849387,9.821633965327165e-07,1.0555559683915061,0.1419579622000444,0,60,0.0,0.08210892296527969,0.1419579622000444
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,1,0,0,0,0,0,4.598115492782782,4.549999999999998,15.401884507217218,0.014798580540327726,3.306057747029752e-06,1.0852014194596724,0.1419795826554006,0,60,0.0,0.13080814139023345,0.1419795826554006
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,2,0,0,0,0,0,4.579437017708341,4.549999999999999,15.42056298229166,0.018901740137483032,6.344611873159824e-06,1.081098259862517,0.14036903252889862,0,60,0.0,0.1282469643203103,0.14036903252889862
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,3,0,0,0,0,0,4.569935112102367,4.549999999999999,15.430064887897633,0.007739639051651694,8.823582501386017e-06,1.0922603609483483,0.13338778243112528,0,60,0.0,0.13013584735597933,0.13338778243112528
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,4,0,0,0,0,0,4.5704232394806805,4.549999999999999,15.42957676051932,0.01698879552144109,9.120770912715223e-06,1.083011204478559,0.13289426727403494,0,60,0.0,0.1292258751123679,0.13289426727403494
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,5,0,0,0,0,0,4.5653091659753295,4.549999999999999,15.434690834024671,0.007460030751420825,9.61383206918074e-06,1.0925399692485793,0.13073289564377266,0,60,0.0,0.12974556560293277,0.13073289564377266
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,6,0,0,0,0,0,4.557380747393645,4.549999999999999,15.442619252606356,0.014462277686289516,9.253187574869017e-06,1.0855377223137106,0.1305710959129648,0,60,0.0,0.12947654320345203,0.1305710959129648
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,7,0,0,0,0,0,4.558381053360105,4.549999999999999,15.441618946639895,0.005868154603762689,9.238593294984812e-06,1.0941318453962374,0.1299172455458251,0,60,0.0,0.12962041352168818,0.1299172455458251
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,8,0,0,0,0,0,4.5547712782913825,4.549999999999999,15.445228721708617,0.010115105812446555,9.215421170085536e-06,1.0898848941875536,0.12986985613514698,0,60,0.0,0.12954797129163503,0.12986985613514698
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,9,0,0,0,0,0,4.553523891840776,4.549999999999999,15.446476108159224,0.004896106684290615,8.996710559592132e-06,1.0951038933157096,0.12973361200768788,0,60,0.0,0.1295794651447098,0.12973361200768788
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,10,0,0,0,0,0,4.553130832669193,4.549999999999999,15.446869167330807,0.008640816828808899,8.947603102430978e-06,1.0913591831711913,0.12966813414559106,0,60,0.0,0.12957471580180585,0.12966813414559106
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,11,1,1,1,1,1,4.552881433739657,4.549999999999999,15.447118566260343,0.0043962181331373175,8.997296901719836e-06,1.0956037818668627,0.12965275496925152,0,60,0.0,0.12951112774561438,0.15024928207721344
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,12,0,0,0,1,1,4.55214219888099,4.549999999999999,15.44785780111901,0.006428888477430735,8.9235549405161e-06,1.0935711115225693,0.1393682963512031,0,60,0.0,0.12951353894320805,0.13936829635120307
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,13,0,0,0,1,1,4.555492176953189,4.549999999999999,15.444507823046811,0.003577117585298854,8.948920170093443e-06,1.0964228824147013,0.13593647529580571,0,60,0.0,0.12958342864473665,0.13593647529580571
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,14,0,0,0,1,1,4.552449099673185,4.549999999999999,15.447550900326815,0.005284109147169844,9.1147748980041e-06,1.0947158908528303,0.13255930065453894,0,60,0.0,0.12956604797478471,0.13255930065453894
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,15,0,0,0,1,1,4.551610133529359,4.549999999999998,15.448389866470642,0.0031197288484508348,9.201250906835907e-06,1.0968802711515493,0.13148716293925425,0,60,0.0,0.12957900654291124,0.13148716293925425
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,16,0,0,0,1,1,4.551386717488646,4.549999999999998,15.448613282511353,0.004542905491945216,9.317747098167599e-06,1.0954570945080548,0.13046739164988347,0,60,0.0,0.12957324571365975,0.13046739164988347
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,17,0,0,0,1,1,4.551308647041601,4.549999999999998,15.448691352958399,0.0027455204364962137,9.402012954863276e-06,1.097254479563504,0.13014497742328268,0,60,0.0,0.12957764947942563,0.13014497742328268
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,18,2,2,2,3,3,4.5511171929621055,4.549999999999998,15.448882807037894,0.003772423570230813,9.544438123414185e-06,1.0962275764297693,0.12982634860375963,0,60,0.0,0.129399558209246,0.1587708758193534
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,19,0,0,0,3,3,4.55110796816571,4.549999999999998,15.44889203183429,0.006022289264988025,9.656228005105004e-06,1.0939777107350122,0.14193436310761204,0,60,0.0,0.12940258354438436,0.14193436310761204
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,20,1,1,1,4,4,4.558456131281096,4.549999999999998,15.441543868718904,0.0032570476797625526,9.760205406009103e-06,1.0967429523202374,0.1383468900045927,0,60,0.0,0.12960977869326473,0.1383468900045927
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,21,0,0,0,4,4,4.553799067441348,4.549999999999998,15.446200932558652,0.0038257294432881587,9.838263718942457e-06,1.096174270556712,0.13337260174479526,0,60,0.0,0.12954256181680815,0.13337260174479526
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,22,0,0,0,4,4,4.552621445017209,4.549999999999997,15.44737855498279,0.002829565130823478,9.92709862575834e-06,1.0971704348691766,0.13225303563016824,0,60,0.0,0.12958978583958083,0.13225303563016824
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,23,0,0,0,4,4,4.55193792160407,4.549999999999996,15.44806207839593,0.003335204324249635,9.972273295848126e-06,1.0966647956757505,0.13071623572817548,0,60,0.0,0.12956758516966557,0.13071623572817548
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,24,0,0,0,4,4,4.551008929526189,4.549999999999996,15.448991070473811,0.0025058709703305658,1.0005704369580095e-05,1.0974941290296696,0.13037783916828288,0,60,0.0,0.12958065973328542,0.13037783916828288
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,25,0,0,0,4,4,4.550999688878671,4.549999999999996,15.44900031112133,0.0029464398290662123,1.0014505154768084e-05,1.097053560170934,0.12991415993092367,0,60,0.0,0.1295734472353652,0.12991415993092367
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,26,0,0,0,4,4,4.550938085569731,4.549999999999996,15.449061914430269,0.002238785877863445,1.0032450471921614e-05,1.0977612141221367,0.12981459454806857,0,60,0.0,0.12957801405796793,0.12981459454806857
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,27,0,0,0,4,4,4.550862246684304,4.549999999999995,15.449137753315696,0.00213489085039276,1.0044433334409789e-05,1.0978651091496072,0.12965835868990527,0,60,0.0,0.12957500399608926,0.12965835868990527
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,28,0,0,0,4,4,4.550772802050593,4.5499999999999945,15.449227197949407,0.0020075874363623394,1.0051782301117983e-05,1.0979924125636378,0.1296274914107382,0,60,0.0,0.129576960496982,0.1296274914107382
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,29,0,0,0,4,4,4.550718434306489,4.5499999999999945,15.44928156569351,0.001705979185231239,1.0050864214533597e-05,1.098294020814769,0.12959531492512283,0,60,0.0,0.12957559562214005,0.12959531492512283
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,30,0,0,0,4,4,4.550666662810641,4.5499999999999945,15.449333337189358,0.0018222326428876112,1.0042266881060057e-05,1.0981777673571125,0.12958194341317394,0,60,0.0,0.12957652299846698,0.12958194341317394
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,31,0,0,0,4,4,4.550605586770514,4.5499999999999945,15.449394413229486,0.0013513333737575912,1.0027696357666543e-05,1.0986486666262425,0.12958101827197335,0,60,0.0,0.12957590160543184,0.12958101827197335
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,32,0,0,0,4,4,4.550553836831974,4.5499999999999945,15.449446163168027,0.0016654444398106634,1.0010208868577188e-05,1.0983345555601893,0.12958311272628217,0,60,0.0,0.12957629531407916,0.12958311272628217
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,33,0,0,0,4,4,4.5505199612563745,4.549999999999993,15.449480038743626,0.0012533718664095726,9.990122496213655e-06,1.0987466281335905,0.12958281237034386,0,60,0.0,0.12957625405293094,0.12958281237034386
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,34,0,0,0,4,4,4.550488171094132,4.549999999999993,15.449511828905868,0.0015287177495388814,9.962831480147838e-06,1.0984712822504612,0.1295840526812025,0,60,0.0,0.1295761365833635,0.1295840526812025
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,35,1,1,1,5,5,4.550475812500913,4.549999999999993,15.449524187499087,0.0011679715204105556,9.930064791691042e-06,1.0988320284795896,0.12957906297623917,0,60,0.0,0.12957484299342226,0.13297042422476657
