attempt,seed,stable,stop_reason,rho0,n_agents,grid,force_scheme,agent_radius,agent_mass,v0_max,max_vel,step,raw_contact_detections,unique_contact_events,active_contacts,cumulative_raw_contact_detections,cumulative_unique_contact_events,max_rho,mean_rho,rho_safety_margin,max_u,mean_u,velocity_safety_margin,max_agent_speed_pre_clamp,agent_clamp_activations_step,agent_clamp_checks_step,agent_clamp_activation_frequency_cumulative,mean_agent_speed,max_agent_speed
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,0,0,0,0,0,0,4.55,4.549999999999999,15.45,0.04437795272356526,9.508043032654741e-07,1.0556220472764348,0.1417959626034331,0,60,0.0,0.07730340615131058,0.14179596260343308
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,1,0,0,0,0,0,4.59828588874583,4.549999999999999,15.401714111254169,0.01485043783439407,3.2341274094953846e-06,1.085149562165606,0.14197006186950706,0,60,0.0,0.13236499051151213,0.14197006186950703
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,2,1,1,1,1,1,4.581179186301766,4.549999999999999,15.418820813698234,0.017810037821844506,6.180419470325551e-06,1.0821899621781557,0.1403026635366626,0,60,0.0,0.12743887228698803,0.1403026635366626
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,3,0,0,0,1,1,4.569637118856855,4.549999999999999,15.430362881143145,0.007335331910076144,8.565501251914714e-06,1.092664668089924,0.13848398251432414,0,60,0.0,0.13052609006151458,0.13848398251432414
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,4,0,0,0,1,1,4.569862817539968,4.549999999999999,15.430137182460033,0.016279832247586716,8.900365681459522e-06,1.0837201677524133,0.1328973849941841,0,60,0.0,0.12900982508270523,0.1328973849941841
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,5,0,0,0,1,1,4.565315804291974,4.549999999999999,15.434684195708027,0.007004865959854096,9.343673494193634e-06,1.092995134040146,0.1322947931242804,0,60,0.0,0.12986322237427222,0.1322947931242804
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,6,0,0,0,1,1,4.557335693140611,4.549999999999999,15.442664306859388,0.013704574710978157,9.014067010853488e-06,1.086295425289022,0.13059954269701665,0,60,0.0,0.12941825348320948,0.13059954269701662
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,7,0,0,0,1,1,4.558144806176859,4.55,15.441855193823141,0.005445688762551637,8.969994990270568e-06,1.0945543112374485,0.130389124104265,0,60,0.0,0.12965344920349695,0.130389124104265
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,8,0,0,0,1,1,4.554660103518424,4.549999999999999,15.445339896481576,0.009475366140342927,8.91187318894098e-06,1.0905246338596573,0.129881635984921,0,60,0.0,0.12953173730459275,0.129881635984921
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,9,0,0,0,1,1,4.553583304088518,4.549999999999999,15.446416695911482,0.004592601965061022,8.676829940521003e-06,1.095407398034939,0.12980680553654816,0,60,0.0,0.12958769239951576,0.12980680553654816
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,10,0,0,0,1,1,4.5531588254430195,4.549999999999999,15.44684117455698,0.008254030120307614,8.604836018977786e-06,1.0917459698796925,0.1296595508676339,0,60,0.0,0.1295696483069612,0.12965955086763387
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,11,1,1,1,2,2,4.552743381862855,4.549999999999999,15.447256618137146,0.0041235139331626995,8.627329801485037e-06,1.0958764860668373,0.12965107003438367,0,60,0.0,0.12922568590835584,0.17034412945665325
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,12,1,0,1,3,2,4.55202528519757,4.549999999999999,15.447974714802431,0.008301233791379144,8.523134232205188e-06,1.091698766208621,0.14036567144468962,0,60,0.0,0.12913111364318194,0.14962848693393782
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,13,2,1,2,5,3,4.561092078567727,4.55,15.438907921432273,0.006641931283664537,8.529019153105513e-06,1.0933580687163356,0.14201226421320012,0,60,0.0,0.12943611675525787,0.15832733417128844
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,14,0,0,0,5,3,4.560647272106502,4.549999999999999,15.439352727893498,0.005063558452109759,8.670289481131654e-06,1.0949364415478904,0.14156559401602395,0,60,0.0,0.12942313945764733,0.14156559401602395
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,15,0,0,0,5,3,4.557942778216585,4.549999999999999,15.442057221783415,0.0029438380736859886,8.731573410387757e-06,1.0970561619263142,0.13822456288338913,0,60,0.0,0.12960079753121392,0.13822456288338913
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,16,0,0,0,5,3,4.554272776342239,4.549999999999998,15.445727223657762,0.0043905858174878,8.806855554284268e-06,1.0956094141825123,0.1332532959873858,0,60,0.0,0.12954826286062496,0.1332532959873858
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,17,0,0,0,5,3,4.554734058960671,4.549999999999998,15.44526594103933,0.0025932318733791235,8.869328184240252e-06,1.0974067681266209,0.1322100186316055,0,60,0.0,0.12958702150016824,0.1322100186316055
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,18,0,0,0,5,3,4.552402673348151,4.549999999999998,15.447597326651849,0.0036507030339381565,8.961252488298696e-06,1.096349296966062,0.13067583266177563,0,60,0.0,0.1295686323572914,0.13067583266177563
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,19,0,0,0,5,3,4.552333263330289,4.549999999999998,15.44766673666971,0.002283065566468995,9.008558223162113e-06,1.0977169344335311,0.13034613688235966,0,60,0.0,0.12957937012345264,0.13034613688235966
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,20,0,0,0,5,3,4.551895232121856,4.549999999999998,15.448104767878144,0.0031688304170868022,9.033730401956487e-06,1.0968311695829134,0.1298984913629886,0,60,0.0,0.12957329548142477,0.12989849136298862
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,21,0,0,0,5,3,4.551263115703834,4.549999999999998,15.448736884296167,0.0020550612792389457,9.034191154472041e-06,1.0979449387207612,0.12979678724668667,0,60,0.0,0.12957707051588446,0.12979678724668667
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,22,0,0,0,5,3,4.551249969073136,4.549999999999997,15.448750030926863,0.002761851006388721,9.047534425636486e-06,1.0972381489936114,0.12966127834005461,0,60,0.0,0.12957532211410808,0.12966127834005461
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,23,0,0,0,5,3,4.551237212261051,4.549999999999996,15.44876278773895,0.0018375298471544526,9.050841027710756e-06,1.0981624701528456,0.12962388242278775,0,60,0.0,0.12957657094565683,0.12962388242278775
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,24,0,0,0,5,3,4.5512029585810385,4.549999999999996,15.448797041418961,0.002454041599381758,9.063422017283328e-06,1.0975459584006184,0.12960293569584005,0,60,0.0,0.12957657399668635,0.12960293569584005
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,25,0,0,0,5,3,4.5512928321049895,4.549999999999996,15.44870716789501,0.001671905605542136,9.066009940544277e-06,1.098328094394458,0.12958230728465173,0,60,0.0,0.12957630644681054,0.12958230728465173
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,26,0,0,0,5,3,4.551345565703944,4.549999999999996,15.448654434296056,0.002194856236577076,9.070777273544908e-06,1.097805143763423,0.12958435422904557,0,60,0.0,0.12957683516151083,0.12958435422904557
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,27,0,0,0,5,3,4.551207079707183,4.549999999999995,15.448792920292817,0.001527514462392,9.065244829415576e-06,1.098472485537608,0.12958321759003696,0,60,0.0,0.12957636160697397,0.12958321759003696
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,28,0,0,0,5,3,4.551045579459789,4.549999999999995,15.448954420540211,0.001970256082072924,9.041853471263747e-06,1.0980297439179272,0.12958699077643643,0,60,0.0,0.1295766842038352,0.12958699077643643
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,29,0,0,0,5,3,4.550970649974395,4.5499999999999945,15.449029350025604,0.0014008356625181302,9.004702536701076e-06,1.098599164337482,0.12958240665719667,0,60,0.0,0.12957626436318676,0.12958240665719667
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,30,0,0,0,5,3,4.5508684492883384,4.5499999999999945,15.449131550711662,0.001789411506475225,8.965621553838525e-06,1.098210588493525,0.1295848769604086,0,60,0.0,0.1295764489622537,0.1295848769604086
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,31,0,0,0,5,3,4.5509491575899315,4.5499999999999945,15.449050842410069,0.001293809459256828,8.93548034073925e-06,1.0987061905407434,0.12958160443929326,0,60,0.0,0.12957611468483587,0.12958160443929326
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,32,0,0,0,5,3,4.550864425858515,4.549999999999994,15.449135574141485,0.0016324335134104886,8.90871350129228e-06,1.0983675664865895,0.12958077625266184,0,60,0.0,0.1295760326033972,0.12958077625266184
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,33,0,0,0,5,3,4.550703969261222,4.5499999999999945,15.449296030738779,0.0011983517287046691,8.885973296217746e-06,1.0988016482712955,0.12958072947603086,0,60,0.0,0.12957598292160766,0.12958072947603086
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,34,0,0,0,5,3,4.550683296825534,4.549999999999993,15.449316703174466,0.0014966306751454045,8.855584189068494e-06,1.0985033693248547,0.12958131484478105,0,60,0.0,0.129575835971055,0.12958131484478105
15,20260720,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,35,0,0,0,5,3,4.550674120748202,4.549999999999993,15.449325879251798,0.0011158158570757656,8.818273392560087e-06,1.0988841841429242,0.12957974110873788,0,60,0.0,0.12957577172520282,0.12957974110873788
