attempt,seed,stable,stop_reason,rho0,n_agents,grid,force_scheme,agent_radius,agent_mass,v0_max,max_vel,step,raw_contact_detections,unique_contact_events,active_contacts,cumulative_raw_contact_detections,cumulative_unique_contact_events,max_rho,mean_rho,rho_safety_margin,max_u,mean_u,velocity_safety_margin,max_agent_speed_pre_clamp,agent_clamp_activations_step,agent_clamp_checks_step,agent_clamp_activation_frequency_cumulative,mean_agent_speed,max_agent_speed
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,0,0,0,0,0,0,4.55,4.549999999999999,15.45,0.052466319322192013,9.72776757856399e-07,1.0475336806778082,0.16607137629600674,0,60,0.0,0.08298355625880734,0.16607137629600674
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,1,0,0,0,0,0,4.600957098478282,4.549999999999999,15.399042901521717,0.01566287583750797,3.2372175857235045e-06,1.0843371241624922,0.1418548100739146,0,60,0.0,0.13168022866367846,0.1418548100739146
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,2,0,0,0,0,0,4.579589116900325,4.549999999999999,15.420410883099674,0.021952954189944727,6.249999835057781e-06,1.0780470458100553,0.13987014558503064,0,60,0.0,0.12779895756787762,0.13987014558503064
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,3,0,0,0,0,0,4.5725168455531735,4.55,15.427483154446826,0.00810186482923577,8.682265390038834e-06,1.0918981351707644,0.13336437861760375,0,60,0.0,0.13036878386370448,0.13336437861760375
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,4,0,0,0,0,0,4.573852259515377,4.549999999999999,15.426147740484623,0.020296845564225823,9.100554891008602e-06,1.0797031544357742,0.1326957101301626,0,60,0.0,0.1290978524600783,0.1326957101301626
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,5,0,0,0,0,0,4.5666079446564405,4.549999999999999,15.43339205534356,0.00801601626396158,9.698663033831127e-06,1.0919839837360386,0.13071021178549908,0,60,0.0,0.12981124434087418,0.13071021178549908
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,6,0,0,0,0,0,4.557804945430645,4.55,15.442195054569355,0.017050608159206865,9.431275314041621e-06,1.0829493918407933,0.13051070972857012,0,60,0.0,0.1294373801314195,0.13051070972857012
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,7,0,0,0,0,0,4.559635682617958,4.549999999999999,15.440364317382041,0.005939382668030953,9.416704357061874e-06,1.0940606173319691,0.12991224261157525,0,60,0.0,0.12963681030150057,0.12991224261157525
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,8,0,0,0,0,0,4.554679751085773,4.549999999999999,15.445320248914227,0.011818986679483362,9.45801767389808e-06,1.0881810133205168,0.1298982103970322,0,60,0.0,0.12953656503249028,0.1298982103970322
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,9,0,0,0,0,0,4.553434431118711,4.55,15.44656556888129,0.005210489734753218,9.242377264351636e-06,1.094789510265247,0.12971217227286366,0,60,0.0,0.12958655256728033,0.12971217227286366
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,10,0,0,0,0,0,4.55315241628177,4.55,15.446847583718231,0.010151161163050561,9.240631102341276e-06,1.0898488388369496,0.12967204807117544,0,60,0.0,0.12957283086043722,0.12967204807117544
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,11,0,0,0,0,0,4.5527101273447945,4.549999999999999,15.447289872655205,0.004615924978318294,9.312988749263984e-06,1.095384075021682,0.12964386799133593,0,60,0.0,0.1295823215121505,0.12964386799133593
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,12,0,0,0,0,0,4.552141766980836,4.55,15.447858233019165,0.0075556173679860944,9.285286048702801e-06,1.092444382632014,0.12962924635348794,0,60,0.0,0.12957848420237028,0.1296292463534879
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,13,0,0,0,0,0,4.551855014596004,4.55,15.448144985403996,0.0037426584755446035,9.347459966403335e-06,1.0962573415244554,0.12959619390276925,0,60,0.0,0.12957641736996492,0.12959619390276925
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,14,0,0,0,0,0,4.5518184879934225,4.549999999999999,15.448181512006578,0.006230570836794917,9.550162625435262e-06,1.0937694291632052,0.1295963970888529,0,60,0.0,0.12957477607922324,0.1295963970888529
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,15,0,0,0,0,0,4.551754746908864,4.549999999999998,15.448245253091136,0.0033256733018161653,9.654696205575233e-06,1.096674326698184,0.12958894688297765,0,60,0.0,0.1295762042347605,0.12958894688297765
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,16,0,0,0,0,0,4.551590953274213,4.549999999999998,15.448409046725786,0.005371776809026023,9.805877006107246e-06,1.094628223190974,0.1295837126600237,0,60,0.0,0.1295746748816983,0.1295837126600237
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,17,0,0,0,0,0,4.5513919518731525,4.549999999999998,15.448608048126847,0.0029155232145108697,9.94274430018456e-06,1.0970844767854893,0.1295868284917968,0,60,0.0,0.12957717504530716,0.1295868284917968
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,18,0,0,0,0,0,4.551165142070498,4.549999999999998,15.448834857929501,0.004463351230314388,1.0129569580746718e-05,1.0955366487696856,0.12958165545939582,0,60,0.0,0.1295745580718605,0.12958165545939582
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,19,0,0,0,0,0,4.551048685685988,4.549999999999998,15.448951314314012,0.0025739602539040065,1.026581668226503e-05,1.097426039746096,0.12958565856800003,0,60,0.0,0.12957736631477598,0.12958565856800003
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,20,1,1,1,1,1,4.550936655144462,4.549999999999997,15.449063344855539,0.003868176259270677,1.0377277056770356e-05,1.0961318237407294,0.12958059467749936,0,60,0.0,0.12946016462619225,0.15583046748562526
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,21,0,0,0,1,1,4.550881707404685,4.549999999999997,15.449118292595315,0.0049233126800297625,1.0471180367779987e-05,1.0950766873199704,0.14104995529120212,0,60,0.0,0.1294616808729511,0.14104995529120212
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,22,0,0,0,1,1,4.555693070762486,4.549999999999997,15.444306929237513,0.0033732921398622745,1.0585837234605837e-05,1.0966267078601377,0.1374982066492306,0,60,0.0,0.12959124464918947,0.1374982066492306
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,23,1,1,1,2,2,4.5533875692944425,4.549999999999996,15.446612430705557,0.0032942374740218584,1.068731018928908e-05,1.0967057625259782,0.1330971360340625,0,60,0.0,0.12932768376536866,0.164308169008425
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,24,0,0,0,2,2,4.552508306468423,4.549999999999996,15.447491693531578,0.006758646610543913,1.0787334540432e-05,1.0932413533894563,0.14192862739879972,0,60,0.0,0.129355783538588,0.14192862739879974
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,25,0,0,0,2,2,4.5571817132575,4.549999999999995,15.4428182867425,0.004107156921604691,1.0858456171853838e-05,1.0958928430783954,0.13970037064101318,0,60,0.0,0.12961245073094024,0.13970037064101318
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,26,1,1,1,3,3,4.553869534216452,4.549999999999996,15.446130465783547,0.004742495815522787,1.0925475795325432e-05,1.0952575041844772,0.13337242063362453,0,60,0.0,0.12953784199411916,0.13337242063362453
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,27,0,0,0,3,3,4.552276146259464,4.549999999999995,15.447723853740536,0.0022020757811211955,1.0964350302373741e-05,1.097797924218879,0.1338272060594129,0,60,0.0,0.12958763267254705,0.1338272060594129
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,28,0,0,0,3,3,4.552442134161223,4.549999999999995,15.447557865838778,0.0036437747442226807,1.0965571023404726e-05,1.0963562252557775,0.13069882914993136,0,60,0.0,0.12956753436547114,0.13069882914993136
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,29,0,0,0,3,3,4.551342352655726,4.5499999999999945,15.448657647344273,0.0021464492573810817,1.0960982028963177e-05,1.097853550742619,0.13085447755527038,0,60,0.0,0.12957981468638327,0.13085447755527035
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,30,0,0,0,3,3,4.551004421437268,4.5499999999999945,15.448995578562732,0.0033075645513925365,1.0937939340893198e-05,1.0966924354486076,0.12989880338705667,0,60,0.0,0.12957376603250564,0.12989880338705667
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,31,0,0,0,3,3,4.550782117102135,4.549999999999994,15.449217882897866,0.0017252185632882025,1.0917985270446504e-05,1.098274781436712,0.1299514285340668,0,60,0.0,0.12957721474875167,0.1299514285340668
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,32,0,0,0,3,3,4.5506125226124166,4.5499999999999945,15.449387477387583,0.0023581170939963535,1.0879579094350474e-05,1.0976418829060037,0.12966313272665475,0,60,0.0,0.1295752710929043,0.12966313272665475
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,33,0,0,0,3,3,4.550601573500522,4.549999999999993,15.449398426499478,0.0013470096368649364,1.0839789719880385e-05,1.0986529903631352,0.12968196534196072,0,60,0.0,0.1295767157028895,0.12968196534196072
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,34,0,0,0,3,3,4.550573894784805,4.549999999999993,15.449426105215196,0.0018460760784977043,1.0799048661809982e-05,1.0981539239215024,0.1296023456530334,0,60,0.0,0.1295757324602282,0.1296023456530334
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,35,1,1,1,4,4,4.550531245455819,4.549999999999993,15.449468754544181,0.0012599075906506397,1.0767884819195925e-05,1.0987400924093496,0.1296054680586474,0,60,0.0,0.1293970272979488,0.1611555483756317
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,36,2,1,2,6,5,4.550542694066813,4.549999999999993,15.449457305933187,0.006022199812516734,1.0747905859442532e-05,1.0939778001874834,0.14191107914835044,0,60,0.0,0.12922839726502913,0.16317876402505693
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,37,0,0,0,6,5,4.556967768062069,4.549999999999991,15.44303223193793,0.006461829117461276,1.0752897624812935e-05,1.093538170882539,0.1419732182788491,0,60,0.0,0.1294380782944517,0.1419732182788491
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,38,0,0,0,6,5,4.559440191265624,4.549999999999992,15.440559808734376,0.003861592897359172,1.07663048879234e-05,1.096138407102641,0.13941475576896584,0,60,0.0,0.1295728552751077,0.13941475576896586
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,39,0,0,0,6,5,4.553903464982887,4.549999999999991,15.446096535017112,0.0028083384258745644,1.0761752183072019e-05,1.0971916615741255,0.13341184714548343,0,60,0.0,0.12956393706060157,0.13341184714548343
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,40,1,1,1,7,6,4.555415951861603,4.549999999999991,15.444584048138397,0.002605939684835547,1.0709917964716105e-05,1.0973940603151646,0.13255920581633054,0,60,0.0,0.12926187218596913,0.16875500746283362
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,41,0,0,0,7,6,4.553262264836802,4.549999999999991,15.446737735163197,0.007646140685308174,1.0655316394095948e-05,1.092353859314692,0.14104190629573254,0,60,0.0,0.12925739278774656,0.14104190629573254
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,42,0,0,0,7,6,4.559001144799203,4.54999999999999,15.440998855200796,0.00456514115561421,1.0614538619922437e-05,1.0954348588443859,0.140604646997512,0,60,0.0,0.12964373986987004,0.140604646997512
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,43,0,0,0,7,6,4.55464303795068,4.549999999999989,15.44535696204932,0.0033087670948728767,1.0586562007919618e-05,1.0966912329051273,0.13307846287435027,0,60,0.0,0.12952320540881562,0.13307846287435027
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,44,0,0,0,7,6,4.552810308717575,4.549999999999989,15.447189691282425,0.001974559420369831,1.0549680550934424e-05,1.0980254405796304,0.13293323800236267,0,60,0.0,0.12959900453574444,0.13293323800236267
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,45,1,1,1,8,7,4.552984671611749,4.549999999999989,15.44701532838825,0.0030859163006407646,1.0466908028881513e-05,1.0969140836993594,0.1306126870851106,0,60,0.0,0.1295435425587639,0.14086412484437266
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,46,0,0,0,8,7,4.5517035186628325,4.549999999999989,15.448296481337167,0.002135484227296347,1.0380355414431991e-05,1.0978645157727038,0.13538811052095465,0,60,0.0,0.12956494360928558,0.13538811052095465
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,47,1,1,1,9,8,4.55237864190062,4.549999999999988,15.44762135809938,0.0027558631476047703,1.0280776844994192e-05,1.0972441368523953,0.13299318149006742,0,60,0.0,0.12913522810586628,0.17327999471991237
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,48,0,0,0,9,8,4.551351631740774,4.549999999999988,15.448648368259226,0.00868564426427721,1.0205984696236061e-05,1.0913143557357228,0.13844398824787285,0,60,0.0,0.1291374227398767,0.13844398824787288
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,49,0,0,0,9,8,4.561835643346741,4.549999999999987,15.43816435665326,0.004944970204316524,1.0145520747477004e-05,1.0950550297956836,0.1413237373713291,0,60,0.0,0.1296837099732995,0.1413237373713291
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,50,0,0,0,9,8,4.555311303793202,4.549999999999987,15.444688696206798,0.005849906833540187,1.0097496262847954e-05,1.0941500931664598,0.1322797150917019,0,60,0.0,0.12950111872226824,0.1322797150917019
7,20260712,True,completed,4.55,60,100x100x100,nearest,5.0,30.0,0.2,1.0,51,1,1,1,10,9,4.553536234916016,4.549999999999987,15.446463765083983,0.002454342893207233,1.004703182320655e-05,1.0975456571067927,0.13315258421405773,0,60,0.0,0.12952622336530348,0.15256804961790602
