attempt,seed,stable,stop_reason,rho0,n_agents,grid,force_scheme,agent_radius,agent_mass,v0_max,max_vel,step,raw_contact_detections,unique_contact_events,active_contacts,cumulative_raw_contact_detections,cumulative_unique_contact_events,max_rho,mean_rho,rho_safety_margin,max_u,mean_u,velocity_safety_margin,max_agent_speed_pre_clamp,agent_clamp_activations_step,agent_clamp_checks_step,agent_clamp_activation_frequency_cumulative,mean_agent_speed,max_agent_speed
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,0,0,0,0,0,0,4.55,4.549999999999999,15.45,0.05553064012799483,1.2590682355711685e-06,1.2644693598720051,0.2143039975225768,0,60,0.0,0.08099464134822078,0.2143039975225768
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,1,0,0,0,0,0,4.611346463018661,4.55,15.388653536981339,0.02504166803644676,4.2832079454724846e-06,1.2949583319635534,0.13508544716301277,0,60,0.0,0.10936075568598848,0.13508544716301277
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,2,0,0,0,0,0,4.5835525093738125,4.55,15.416447490626187,0.03440103406473234,8.234095896848984e-06,1.2855989659352678,0.13337078370427233,0,60,0.0,0.11567880619602339,0.13337078370427233
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,3,0,0,0,0,0,4.573446057584269,4.549999999999999,15.426553942415731,0.015028555631632218,1.1513543151764731e-05,1.3049714443683678,0.1270905704102204,0,60,0.0,0.11956095812883127,0.1270905704102204
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,4,0,0,0,0,0,4.574325036320631,4.549999999999998,15.42567496367937,0.027230969048447462,1.2095899045704339e-05,1.2927690309515527,0.12557122272098417,0,60,0.0,0.11717127836486044,0.12557122272098417
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,5,0,0,0,0,0,4.566042171656158,4.549999999999999,15.433957828343843,0.015133526949999965,1.2960376597974285e-05,1.3048664730500001,0.12255860749639556,0,60,0.0,0.11893190007795858,0.12255860749639556
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,6,0,0,0,0,0,4.561135963674622,4.549999999999999,15.438864036325377,0.02425911205487782,1.2614239512767617e-05,1.2957408879451222,0.12180520366666044,0,60,0.0,0.11777238848276153,0.12180520366666044
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,7,0,0,0,0,0,4.559730794289271,4.549999999999999,15.44026920571073,0.01069020162346462,1.2658977015847445e-05,1.3093097983765354,0.12031815930974578,0,60,0.0,0.11859999554678755,0.12031815930974578
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,8,0,0,0,0,0,4.555205704739592,4.55,15.444794295260408,0.01741752323539463,1.2633316011671567e-05,1.3025824767646055,0.11996772617551955,0,60,0.0,0.118037709151243,0.11996772617551955
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,9,1,1,1,1,1,4.5542586981145625,4.55,15.445741301885437,0.008090317727752707,1.2373369279195191e-05,1.3119096822722474,0.11932561253392118,0,60,0.0,0.11817344980781193,0.15334029923569442
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,10,0,0,0,1,1,4.55323347389507,4.549999999999998,15.44676652610493,0.013807195799361712,1.2336268610709869e-05,1.3061928042006383,0.13493315003718365,0,60,0.0,0.11790954136025691,0.13493315003718365
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,11,0,0,0,1,1,4.558324845470663,4.549999999999999,15.441675154529337,0.00694871644694493,1.2410577700716706e-05,1.3130512835530552,0.1333077518008629,0,60,0.0,0.11839655181050569,0.1333077518008629
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,12,0,0,0,1,1,4.555536961651106,4.549999999999999,15.444463038348893,0.010747666581674016,1.2377544416198265e-05,1.3092523334183261,0.126186483228713,0,60,0.0,0.11817083307343976,0.126186483228713
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,13,0,0,0,1,1,4.55316034052175,4.549999999999999,15.44683965947825,0.005763453205162748,1.2445563792434534e-05,1.3142365467948374,0.12554416270330362,0,60,0.0,0.11834389791011052,0.12554416270330362
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,14,0,0,0,1,1,4.553153506925045,4.549999999999999,15.446846493074954,0.008599507310279425,1.2662715583762326e-05,1.3114004926897207,0.12206499153627523,0,60,0.0,0.11823557735099079,0.12206499153627523
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,15,0,0,0,1,1,4.552010331521619,4.549999999999998,15.447989668478382,0.004985833208724401,1.2773174954292579e-05,1.3150141667912756,0.12181117752921838,0,60,0.0,0.11831336754357036,0.12181117752921838
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,16,0,0,0,1,1,4.551704298261155,4.549999999999998,15.448295701738845,0.007212977953555658,1.294500570037787e-05,1.3127870220464444,0.12009163794964572,0,60,0.0,0.11826305428478283,0.12009163794964572
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,17,0,0,0,1,1,4.551602446254333,4.549999999999999,15.448397553745668,0.004354605154273749,1.3087921676621134e-05,1.3156453948457263,0.11999194986780783,0,60,0.0,0.11829971733335223,0.11999194986780783
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,18,0,0,0,1,1,4.551491721443314,4.549999999999998,15.448508278556686,0.006002857814164024,1.3286379178157425e-05,1.313997142185836,0.1191484868493794,0,60,0.0,0.11827635767943381,0.1191484868493794
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,19,0,0,0,1,1,4.55133905498371,4.549999999999998,15.44866094501629,0.003739579124014728,1.3413886039395594e-05,1.3162604208759854,0.11908988216408446,0,60,0.0,0.11829323857660438,0.11908988216408448
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,20,1,1,1,2,2,4.551142534440624,4.549999999999998,15.448857465559376,0.005100899468304624,1.3536055016516198e-05,1.3148991005316955,0.11869713821448188,0,60,0.0,0.11811250046118278,0.1474805946485128
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,21,0,0,0,2,2,4.551107469288964,4.549999999999997,15.448892530711035,0.00604610486431145,1.3629166407508056e-05,1.3139538951356886,0.13439994605905972,0,60,0.0,0.11812125431013694,0.13439994605905972
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,22,0,0,0,2,2,4.558576151227636,4.549999999999997,15.441423848772363,0.0044141237453907585,1.3753409409264313e-05,1.3155858762546093,0.13150135852192416,0,60,0.0,0.1182880656443462,0.13150135852192416
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,23,0,0,0,2,2,4.553971959878018,4.549999999999996,15.446028040121982,0.005151023287380992,1.3837327277848771e-05,1.314848976712619,0.12605137088811463,0,60,0.0,0.11824503838090837,0.12605137088811463
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,24,0,0,0,2,2,4.552773089998917,4.549999999999996,15.447226910001083,0.0038611267626161507,1.3912175536237637e-05,1.316138873237384,0.12468555325918702,0,60,0.0,0.11829539348253784,0.12468555325918704
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,25,0,0,0,2,2,4.552351595342469,4.549999999999996,15.447648404657532,0.0045269890514930125,1.3929164722860243e-05,1.315473010948507,0.12205033122050904,0,60,0.0,0.11827216557869573,0.12205033122050904
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,26,2,2,2,4,4,4.551288070355721,4.549999999999996,15.44871192964428,0.0034175389669778514,1.3949584832312816e-05,1.3165824610330221,0.1213567019706571,0,60,0.0,0.11779873776853274,0.15922198543665228
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,27,0,0,0,4,4,4.551535265321801,4.549999999999995,15.448464734678199,0.008863099068146009,1.396988951061664e-05,1.311136900931854,0.13248857375043688,0,60,0.0,0.11778728613705218,0.13248857375043688
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,28,0,0,0,4,4,4.561670037440351,4.5499999999999945,15.43832996255965,0.006099016264146434,1.4006631784865314e-05,1.3139009837358537,0.13451560792949835,0,60,0.0,0.11836445352127947,0.13451560792949835
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,29,0,0,0,4,4,4.555895481156713,4.5499999999999945,15.444104518843286,0.007026059271349349,1.4026179096774885e-05,1.3129739407286507,0.12512401117459881,0,60,0.0,0.11816513755803484,0.12512401117459881
12,20260717,True,completed,4.55,60,100x100x100,nearest,5.0,25.0,0.2,1.2,30,0,0,0,4,4,4.5533816693193,4.549999999999994,15.4466183306807,0.0029711785120487924,1.402373178305455e-05,1.3170288214879513,0.12607768864161759,0,60,0.0,0.11833361766148065,0.12607768864161759
